Prompt,Generated Response,Call Sign Accuracy,CallWER,BLEU,ROUGE-L,Edit Distance,Perplexity
"N345GH, wind 250 at 15, Runway 23R cleared to land.","N345GH, wind 250 at 15, Runway 23R cleared to land.**
   - This is a correct readback. The pilot acknowledges the aircraft type, runway, and wind conditions.

B. **Cleared for takeoff, runway 09L, winds 180 at 10, cleared to climb and maintain 5,000 feet, contact departure on 123.45.**
",1,0.0,0.224,0.37,236,4.95
"DAL338, contact Greensboro Tower on 119.7.","DAL338, contact Greensboro Tower on 119.7. If you have any questions or need further assistance, feel free to reach out. Safe flying!",1,0.0,0.376,0.467,91,21.46
"SWA519, wind 250 at 15, Runway 23R cleared to land.","SWA519, wind 250 at 15, Runway 23R cleared to land.**
   - This clearance indicates that the aircraft is cleared for a straight-in landing on runway 23 Right (23R) with the wind coming from 250 degrees at a speed of 15 knots. There is no mention of a missed approach procedure in this clearance.

B. **Cleared ILS or GPS RW",1,0.0,0.224,0.333,272,4.46
"N345GH, radar contact, descend and maintain 2,500, expect ILS Runway 5.","N345GH, radar contact, descend and maintain 2,500, expect ILS Runway 5. Taxi to runway 5 via taxiway Charlie, hold short of runway 4. Wind 270 at 10 knots, visibility 10 miles, scattered clouds at 3,000 feet. Altimeter setting 29.92 inches of mercury.""",1,0.0,0.296,0.44,181,5.35
"Greensboro Tower, N123AB, ILS 14, 3 miles out.","Greensboro Tower, N123AB, ILS 14, 3 miles out. Runway 14 is closed for maintenance, and the weather is deteriorating with low visibility and strong crosswinds. What should you do?

A. Continue the approach as planned, trusting the ILS to guide you to a safe landing.
B. Execute a missed approach procedure and contact ATC for further instructions.
",1,0.0,0.214,0.291,302,4.17
"N345GH, taxi to Atlantic via Charlie, hold short 23R.","N345GH, taxi to Atlantic via Charlie, hold short 23R. Cleared for takeoff runway 23L, contact departure on 123.45.""",1,0.0,0.445,0.621,62,27.95
"DAL338, contact Greensboro Tower on 118.5.","DAL338, contact Greensboro Tower on 118.5. If you have any questions or need further assistance, feel free to reach out. Safe travels!",1,0.0,0.376,0.467,92,20.75
"SWA519, radar contact, descend and maintain 5,000, expect ILS Runway 23L.","SWA519, radar contact, descend and maintain 5,000, expect ILS Runway 23L. Cleared for the approach, report the field in sight. Traffic is a Cessna 172, 10 o'clock, 5 miles, same altitude. Contact departure on 123.45 when able. Squawk 4721.""",1,0.0,0.314,0.431,167,5.04
"SWA519, radar contact, descend and maintain 2,500, expect ILS Runway 23L.","SWA519, radar contact, descend and maintain 2,500, expect ILS Runway 23L. Climb and maintain flight level 240, expect further clearance in 10 minutes. Contact departure on 123.45.""",1,0.0,0.473,0.595,107,8.4
"SWA519, wind 180 at 5, Runway 5 cleared to land.","SWA519, wind 180 at 5, Runway 5 cleared to land.**
   - This is a standard landing clearance with a specific runway and wind information. It is clear and unambiguous.

B. **ATC: N12345, descend and maintain 3,000 feet, expect further clearance in 10 minutes due to high traffic volume. ATCO: Roger, descending to ",1,0.0,0.214,0.364,265,5.18
